id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
1379,https://biotite.berkeley.edu/QRLab/1379/detail,HA3_D2_DOC,4/28/2022,HA,UCB,10-20,0,ES,,,,,,,,,,,,,5.057,
1380,https://biotite.berkeley.edu/QRLab/1380/detail,HA3_D3_DOC,4/28/2022,HA,UCB,20-30,0,ZH,,,,,,,,,,,,,4.999,
1381,https://biotite.berkeley.edu/QRLab/1381/detail,HA3_D4_DOC,4/28/2022,HA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.002,
1382,https://biotite.berkeley.edu/QRLab/1382/detail,HA3_D5_DOC,4/28/2022,HA,UCB,50-80,0,JF,,,,,,,,,,,,,5.006,
1383,https://biotite.berkeley.edu/QRLab/1383/detail,HB3_D1_DOC,4/28/2022,HB,UCB,0-10,0,MY,,,,,,,,,,,,,5.106,
1384,https://biotite.berkeley.edu/QRLab/1384/detail,HB3_D2_DOC,4/28/2022,HB,UCB,10-20,0,ES,,,,,,,,,,,,,5.024,
1385,https://biotite.berkeley.edu/QRLab/1385/detail,HB3_D3_DOC,4/28/2022,HB,UCB,20-30,0,ZH,,,,,,,,,,,,,5.024,
1386,https://biotite.berkeley.edu/QRLab/1386/detail,HB3_D4_DOC,4/28/2022,HB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.015,
1387,https://biotite.berkeley.edu/QRLab/1387/detail,HB3_D5_DOC,4/28/2022,HB,UCB,50-80,0,JF,,,,,,,,,,,,,5.006,
1388,https://biotite.berkeley.edu/QRLab/1388/detail,HC3_D1_DOC,4/28/2022,HC,UCB,0-10,0,MY,,,,,,,,,,,,,4.999,
1389,https://biotite.berkeley.edu/QRLab/1389/detail,HC3_D2_DOC,4/28/2022,HC,UCB,10-20,0,ES,,,,,,,,,,,,,5.014,
1390,https://biotite.berkeley.edu/QRLab/1390/detail,HC3_D3_DOC,4/28/2022,HC,UCB,20-30,0,ZH,,,,,,,,,,,,,5.097,
1391,https://biotite.berkeley.edu/QRLab/1391/detail,HC3_D4_DOC,4/28/2022,HC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.025,
1392,https://biotite.berkeley.edu/QRLab/1392/detail,HC3_D5_DOC,4/28/2022,HC,UCB,50-80,0,JF,,,,,,,,,,,,,5.009,
